n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
3.00000000000000000e+01,1.36930639376291530e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.59317229810746674e+00,-1.00000000000000000e+00,-4.59317229810639649e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.92709433861630230e-01,-2.22101705520131842e+00,1.06427490430751625e-12,-1.06492592522045015e-12,1.00000000000000000e+00,-1.14868115019817196e-11
8.00000000000000000e+00,7.07106781186547573e-01,4.80000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-4.58934871016529300e+00,-1.00000000000000000e+00,-4.58934871016546975e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.69667591448508681e-01,-1.71856259013244639e+00,1.40490954604009195e-11,-1.40518707780756813e-11,2.00000000000000000e+00,5.50315348846197594e-12
2.12000000000000000e+02,3.64005494464025903e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.58782963817364919e+00,-1.00000000000000000e+00,-4.58782963817376555e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53731229416702120e-01,-4.10211228039685061e+00,7.98464869445333673e-12,7.98464939999465884e-12,0.00000000000000000e+00,1.66433175024971165e-13
1.46000000000000000e+02,3.02076149339864308e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58546269741376378e+00,-1.00000000000000000e+00,-4.58546269741590518e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47948427377433456e-01,-3.29854912377699971e+00,1.65927816231889870e-10,-1.65927716011537996e-10,0.00000000000000000e+00,-4.45155023953702766e-12
6.90000000000000000e+01,2.07665596572951872e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58518128352015442e+00,-1.00000000000000000e+00,-4.58518128352967214e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72220137554644354e-01,-2.80249434822551891e+00,3.27518102803346101e-10,-3.27518012710470430e-10,0.00000000000000000e+00,-3.22319948509175447e-12
2.11000000000000000e+02,3.63145976158348738e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57814254742900673e+00,-1.00000000000000000e+00,-4.57814254742848625e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53779917747913863e-01,-4.09315463764283827e+00,7.86500205905844972e-12,7.86500205240958650e-12,0.00000000000000000e+00,-1.67218087742019926e-13
6.40000000000000000e+01,2.00000000000000000e+00,2.40000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57505570767503844e+00,-1.00000000000000000e+00,-4.57505570767744274e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.62929691059184900e-01,-2.66839409556984153e+00,5.72113450480955989e-11,-5.72113467711687917e-11,0.00000000000000000e+00,-2.27573515587664588e-12
1.45000000000000000e+02,3.01039864469807394e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.57414611127708426e+00,-1.00000000000000000e+00,-4.57414611128337611e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48437720141315832e-01,-3.28768413995372422e+00,1.55238066545670222e-10,-1.55238044641237138e-10,0.00000000000000000e+00,4.11026768176725454e-12
3.40000000000000000e+01,1.45773797371132519e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57255957378921263e+00,-1.00000000000000000e+00,-4.57255957378142863e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.36670825588414896e-01,-2.33651806156303410e+00,5.33343134677281853e-11,5.33342259245728201e-11,1.00000000000000000e+00,-1.89759319368931756e-12
2.10000000000000000e+02,3.62284418654735951e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.56843074026856755e+00,-1.00000000000000000e+00,-4.56843074026789431e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53828678082123171e-01,-4.08417505188694996e+00,7.83675588107493343e-12,7.83675555005025615e-12,0.00000000000000000e+00,1.32725721432376309e-14
